ID,exp,RT,TT,RR,group,p.CD4,p.CD8,p.B.cells,p.NK.cells,p.neutro,p.mono
71,XR,XR,Whole brain,2,Whole brain at 2 Gy/min,0.996668665,0.421389745,0.196614778,0.481251608,1.007878235,0.729749823
72,XR,CT,Anesthesia,0,Control with anesthesia,2.157554526,1.636739456,1.132967186,0.738206808,0.999273503,1.038837586
73,XR,CT,Anesthesia,0,Control with anesthesia,0.436288136,0.76574305,1.157758938,0.954572028,0.849717388,0.603243095
74,XR,CT,Anesthesia,0,Control with anesthesia,0.26857649,0.543929624,0.718487982,0.855537745,0.635970412,1.287022818
75,XR,CT,Anesthesia,0,Control with anesthesia,1.137580849,1.05358787,0.990785894,1.451683419,1.515038697,1.070896502
85,PT,PT,Hemisphere,1,Hemisphere at 1 Gy/min,1.764551343,1.474954166,1.103202416,0.638819529,1.399048896,0.442493681
86,PT,PT,Hemisphere,1,Hemisphere at 1 Gy/min,1.392293317,1.621133224,1.37210833,0.950810596,0.890942158,0.887827686
87,PT,PT,Hemisphere,1,Hemisphere at 1 Gy/min,1.022942134,1.007601077,0.818327168,0.812183975,0.641104351,0.903705547
88,PT,PT,Hemisphere,1,Hemisphere at 1 Gy/min,0.696885808,0.831762292,0.654159116,0.897901566,1.558781451,1.255787199
89,PT,PT,Hemisphere,1,Hemisphere at 1 Gy/min,2.054018681,1.540080686,1.231715593,2.200950797,1.706122659,0.882469053
90,PT,PT,Whole brain,1,Whole brain at 1 Gy/min,0.213767459,0.179514157,0.076808812,0.160202153,2.395518339,0.99914438
91,PT,PT,Whole brain,1,Whole brain at 1 Gy/min,0.950042951,1.335233535,0.997594972,0.778175985,0.950757194,0.653412859
92,PT,PT,Whole brain,1,Whole brain at 1 Gy/min,0.910596716,1.05579717,0.770903366,0.635724373,0.884374823,0.53676286
93,PT,PT,Whole brain,1,Whole brain at 1 Gy/min,1.291802569,1.150277458,1.159023492,0.840056501,0.800796549,0.814937886
94,PT,PT,Whole brain,1,Whole brain at 1 Gy/min,1.227060293,1.241353743,1.135515735,0.999893356,0.784532857,0.743240729
95,PT,PT,Hemisphere,2,Hemisphere at 2 Gy/min,2.149177253,1.639571437,1.234675678,0.782874018,3.056394504,0.779342391
96,PT,PT,Hemisphere,2,Hemisphere at 2 Gy/min,1.476514624,1.755039384,1.251451923,1.445082355,1.320019716,0.658057863
97,PT,PT,Hemisphere,2,Hemisphere at 2 Gy/min,2.287263482,1.846692095,1.49168597,1.197092884,2.253397829,1.258479286
98,PT,PT,Hemisphere,2,Hemisphere at 2 Gy/min,1.407982577,1.165094485,1.33513872,0.64638786,1.558831778,0.967171708
99,PT,PT,Hemisphere,2,Hemisphere at 2 Gy/min,2.231068835,1.629036643,1.454818336,1.080242699,3.634321684,1.122385804
100,PT,PT,Whole brain,2,Whole brain at 2 Gy/min,2.439255118,2.033359238,1.778047553,1.449864502,2.881803238,1.768343733
101,PT,PT,Whole brain,2,Whole brain at 2 Gy/min,0.535370608,0.209411326,0.323677421,0.911188087,0.793390486,1.052522655
102,PT,PT,Whole brain,2,Whole brain at 2 Gy/min,1.400576351,1.337153345,1.044531127,0.967728154,1.51921578,0.784198862
103,PT,PT,Whole brain,2,Whole brain at 2 Gy/min,0.365333613,0.154674267,0.107415023,0.30785989,3.029599016,1.007131229
104,PT,PT,Whole brain,2,Whole brain at 2 Gy/min,0.7596413,1.019632081,0.524713448,0.979880239,2.000929484,0.965636209
105,PT,CT,Anesthesia,0,Control with anesthesia,0.8215744,1.177569849,0.916684414,0.93151032,1.128432799,1.62897552
106,PT,CT,Anesthesia,0,Control with anesthesia,0.934169045,1.146688331,1.410404275,1.113702995,0.6884955,0.898220623
107,PT,CT,Anesthesia,0,Control with anesthesia,0.606647466,0.185491582,0.366417018,0.677336228,1.598455979,0.952827272
108,PT,CT,Anesthesia,0,Control with anesthesia,1.637609089,1.490250238,1.306494293,1.277450457,0.584615722,0.519976585
