"","RT","TT","RR","V0.0","V0.1","V0.2","V0.3","V0.4","V0.5"
"1","PT","Hemisphere",1,0.483277973433529,0.139526359080707,0.0278001295309933,0.00415487969598616,4.74388392105451e-05,3.84896700578174e-06
"2","PT","Hemisphere",2,0.281892204438113,0.281892204438113,0.0423096732666692,0.0423096732666692,0.00415524797231204,0.0002946653825463
"3","PT","Whole brain",1,0.733891645228168,0.37622866374716,0.141367226753495,0.0409455643211456,0.00182093004302897,0.000294252230019554
"4","PT","Whole brain",2,0.485184944946428,0.485184944946428,0.138190919032139,0.138190919032139,0.026552038964994,0.00373152192866411
"5","XR","Hemisphere",1,0.490143378197789,0.14403477766833,0.0292460253204048,0.00445670383770347,5.29367439746631e-05,4.38152715165341e-06
"6","XR","Hemisphere",2,0.286693280432957,0.286693280432957,0.0438545660647582,0.0438545660647582,0.00439214161507673,0.000317703431843785
"7","XR","Whole brain",1,0.740951569347588,0.385596463854315,0.147437804813677,0.0435060766490185,0.00201135781521555,0.000331524175453013
"8","XR","Whole brain",2,0.49208070403864,0.49208070403864,0.142674450243699,0.142674450243699,0.0279412024747974,0.00400449732274544
"9","CT","Anesthesia",0,0,0,0,0,0,0
